split,case,patch_index,patch_kind,direction,state_normalized_mse,mask_logit_normalized_mse
train,HEM_PA99.nii.gz,0,context,liver_to_the_liver,0.00014263918274082243,3.9409074815921485e-05
train,HEM_PA99.nii.gz,0,context,the_liver_to_liver,0.00014216457202564925,3.910574741894379e-05
train,HEM_PA99.nii.gz,1,context,liver_to_the_liver,0.002707105129957199,0.001923251897096634
train,HEM_PA99.nii.gz,1,context,the_liver_to_liver,0.0026430278085172176,0.0017894322518259287
train,HEM_PA99.nii.gz,2,foreground,liver_to_the_liver,0.002532044192776084,0.0017686139326542616
train,HEM_PA99.nii.gz,2,foreground,the_liver_to_liver,0.002495239721611142,0.001654519233852625
train,HEM_PA99.nii.gz,3,foreground,liver_to_the_liver,0.0019202552502974868,0.001218335935845971
train,HEM_PA99.nii.gz,3,foreground,the_liver_to_liver,0.0019020932959392667,0.0011544940061867237
train,HCC_10140276_20170721.nii.gz,0,context,liver_to_the_liver,0.0048921555280685425,0.003983513917773962
train,HCC_10140276_20170721.nii.gz,0,context,the_liver_to_liver,0.004576351493597031,0.0035498212091624737
train,HCC_10140276_20170721.nii.gz,1,context,liver_to_the_liver,0.0022145980037748814,0.0014723993372172117
train,HCC_10140276_20170721.nii.gz,1,context,the_liver_to_liver,0.002150447340682149,0.0013789196964353323
train,HCC_10140276_20170721.nii.gz,2,foreground,liver_to_the_liver,0.002474229782819748,0.0011608961503952742
train,HCC_10140276_20170721.nii.gz,2,foreground,the_liver_to_liver,0.002419167198240757,0.0010977465426549315
train,HCC_10140276_20170721.nii.gz,3,foreground,liver_to_the_liver,0.002698499709367752,0.0014007029822096229
train,HCC_10140276_20170721.nii.gz,3,foreground,the_liver_to_liver,0.0026272102259099483,0.0013120833318680525
train,HEM_PA97.nii.gz,0,context,liver_to_the_liver,0.002501190872862935,0.0007195171783678234
train,HEM_PA97.nii.gz,0,context,the_liver_to_liver,0.002457986818626523,0.0006919934530742466
train,HEM_PA97.nii.gz,1,context,liver_to_the_liver,0.0025295440573245287,0.0015452775405719876
train,HEM_PA97.nii.gz,1,context,the_liver_to_liver,0.002470002742484212,0.0014495423529297113
train,HEM_PA97.nii.gz,2,foreground,liver_to_the_liver,0.003124510869383812,0.0012315977364778519
train,HEM_PA97.nii.gz,2,foreground,the_liver_to_liver,0.003061447059735656,0.0011653543915599585
train,HEM_PA97.nii.gz,3,context_fill,liver_to_the_liver,0.00040377851109951735,0.0001812565460568294
train,HEM_PA97.nii.gz,3,context_fill,the_liver_to_liver,0.00041035129106603563,0.00018554693087935448
train,CYST_PA69.nii.gz,0,context,liver_to_the_liver,0.0002555501414462924,5.952269202680327e-05
train,CYST_PA69.nii.gz,0,context,the_liver_to_liver,0.0002548419579397887,5.903330020373687e-05
train,CYST_PA69.nii.gz,1,context,liver_to_the_liver,0.00038369136746041477,8.687567606102675e-05
train,CYST_PA69.nii.gz,1,context,the_liver_to_liver,0.0003819903067778796,8.595798135502264e-05
train,CYST_PA69.nii.gz,2,foreground,liver_to_the_liver,0.0025867545045912266,0.0017787565011531115
train,CYST_PA69.nii.gz,2,foreground,the_liver_to_liver,0.002557653235271573,0.0016673493664711714
train,CYST_PA69.nii.gz,3,foreground,liver_to_the_liver,0.002955380128696561,0.0016913119470700622
train,CYST_PA69.nii.gz,3,foreground,the_liver_to_liver,0.002885553054511547,0.0015814307844266295
train,HCC_10076307_20130925.nii.gz,0,context,liver_to_the_liver,0.006553069222718477,0.004911848343908787
train,HCC_10076307_20130925.nii.gz,0,context,the_liver_to_liver,0.005959519185125828,0.004312530625611544
train,HCC_10076307_20130925.nii.gz,1,context,liver_to_the_liver,0.0027409640606492758,0.0014666783390566707
train,HCC_10076307_20130925.nii.gz,1,context,the_liver_to_liver,0.0026652503293007612,0.001373735605739057
train,HCC_10076307_20130925.nii.gz,2,foreground,liver_to_the_liver,0.0027471629437059164,0.001466928282752633
train,HCC_10076307_20130925.nii.gz,2,foreground,the_liver_to_liver,0.0026707055512815714,0.0013750807847827673
train,HCC_10076307_20130925.nii.gz,3,foreground,liver_to_the_liver,0.0024502351880073547,0.0014470856403931975
train,HCC_10076307_20130925.nii.gz,3,foreground,the_liver_to_liver,0.0023804418742656708,0.0013552180025726557
train,CYST_PA20.nii.gz,0,context,liver_to_the_liver,0.004604729823768139,0.0033609175588935614
train,CYST_PA20.nii.gz,0,context,the_liver_to_liver,0.004280346445739269,0.003019276773557067
train,CYST_PA20.nii.gz,1,context,liver_to_the_liver,0.0023095430806279182,0.0010034040315076709
train,CYST_PA20.nii.gz,1,context,the_liver_to_liver,0.0022610952146351337,0.0009526552748866379
train,CYST_PA20.nii.gz,2,foreground,liver_to_the_liver,0.0024266846012324095,0.0010370254749432206
train,CYST_PA20.nii.gz,2,foreground,the_liver_to_liver,0.0023738357704132795,0.0009850682690739632
train,CYST_PA20.nii.gz,3,foreground,liver_to_the_liver,0.002916032914072275,0.0015677893534302711
train,CYST_PA20.nii.gz,3,foreground,the_liver_to_liver,0.002825521631166339,0.0014673495898023248
train,CYST_PA56.nii.gz,0,context,liver_to_the_liver,0.00020218073041178286,3.864133032038808e-05
train,CYST_PA56.nii.gz,0,context,the_liver_to_liver,0.00020198455604258925,3.854982787743211e-05
train,CYST_PA56.nii.gz,1,context,liver_to_the_liver,0.003087851917371154,0.00235700118355453
train,CYST_PA56.nii.gz,1,context,the_liver_to_liver,0.002947560977190733,0.002156528877094388
train,CYST_PA56.nii.gz,2,foreground,liver_to_the_liver,0.0022355231922119856,0.0008270391845144331
train,CYST_PA56.nii.gz,2,foreground,the_liver_to_liver,0.0021985936909914017,0.0007933476008474827
train,CYST_PA56.nii.gz,3,foreground,liver_to_the_liver,0.0026958819944411516,0.0015902187442407012
train,CYST_PA56.nii.gz,3,foreground,the_liver_to_liver,0.0026213754899799824,0.0014841462252661586
train,HCC_10136895_20170421.nii.gz,0,context,liver_to_the_liver,0.026379995048046112,0.022879283875226974
train,HCC_10136895_20170421.nii.gz,0,context,the_liver_to_liver,0.021573267877101898,0.017379319295287132
train,HCC_10136895_20170421.nii.gz,1,context,liver_to_the_liver,0.0023840791545808315,0.0013925714883953333
train,HCC_10136895_20170421.nii.gz,1,context,the_liver_to_liver,0.0023147123865783215,0.0013048985274508595
train,HCC_10136895_20170421.nii.gz,2,foreground,liver_to_the_liver,0.0027715920004993677,0.0016827016370370984
train,HCC_10136895_20170421.nii.gz,2,foreground,the_liver_to_liver,0.0027038019616156816,0.001569763757288456
train,HCC_10136895_20170421.nii.gz,3,foreground,liver_to_the_liver,0.002554916776716709,0.0017512560589239001
train,HCC_10136895_20170421.nii.gz,3,foreground,the_liver_to_liver,0.0024803155101835728,0.0016272399807348847
val,CYST_PA62.nii.gz,0,context,liver_to_the_liver,0.0002988889464177191,9.160378976957873e-05
val,CYST_PA62.nii.gz,0,context,the_liver_to_liver,0.0002966138126794249,9.039435826707631e-05
val,CYST_PA62.nii.gz,1,context,liver_to_the_liver,0.0022141537629067898,0.001567065715789795
val,CYST_PA62.nii.gz,1,context,the_liver_to_liver,0.002168480772525072,0.0014639211585745215
val,CYST_PA62.nii.gz,2,foreground,liver_to_the_liver,0.0028512971475720406,0.0013318092096596956
val,CYST_PA62.nii.gz,2,foreground,the_liver_to_liver,0.002814356004819274,0.0012585616204887629
val,CYST_PA62.nii.gz,3,context_fill,liver_to_the_liver,0.00017488456796854734,5.4489599278895184e-05
val,CYST_PA62.nii.gz,3,context_fill,the_liver_to_liver,0.00017429349827580154,5.400767258834094e-05
val,HEM_PA29.nii.gz,0,context,liver_to_the_liver,0.00017025343549903482,3.3189284295076504e-05
val,HEM_PA29.nii.gz,0,context,the_liver_to_liver,0.0001702101289993152,3.3058975532185286e-05
val,HEM_PA29.nii.gz,1,context,liver_to_the_liver,0.0029089751187711954,0.0011926812585443258
val,HEM_PA29.nii.gz,1,context,the_liver_to_liver,0.002987833460792899,0.0012683940585702658
val,HEM_PA29.nii.gz,2,foreground,liver_to_the_liver,0.0031507271341979504,0.0007443255162797868
val,HEM_PA29.nii.gz,2,foreground,the_liver_to_liver,0.0031419903971254826,0.0007239727419801056
val,HEM_PA29.nii.gz,3,foreground,liver_to_the_liver,0.0028567363042384386,0.0017486426513642073
val,HEM_PA29.nii.gz,3,foreground,the_liver_to_liver,0.002801160793751478,0.001635560067370534
val,HEP_PA28.nii.gz,0,context,liver_to_the_liver,0.0022976265754550695,0.0014065975556150079
val,HEP_PA28.nii.gz,0,context,the_liver_to_liver,0.002246200805529952,0.0013196300715208054
val,HEP_PA28.nii.gz,1,context,liver_to_the_liver,0.0042199138551950455,0.00280904327519238
val,HEP_PA28.nii.gz,1,context,the_liver_to_liver,0.0039316522888839245,0.002549550263211131
val,HEP_PA28.nii.gz,2,foreground,liver_to_the_liver,0.002717277966439724,0.0009063229081220925
val,HEP_PA28.nii.gz,2,foreground,the_liver_to_liver,0.002673374954611063,0.000866395072080195
val,HEP_PA28.nii.gz,3,context_fill,liver_to_the_liver,0.0029989697504788637,0.001372831524349749
val,HEP_PA28.nii.gz,3,context_fill,the_liver_to_liver,0.002934237476438284,0.0012937341816723347
val,HEM_PA107.nii.gz,0,context,liver_to_the_liver,0.0002511212369427085,7.836938311811537e-05
val,HEM_PA107.nii.gz,0,context,the_liver_to_liver,0.00024961645249277353,7.743587048025802e-05
val,HEM_PA107.nii.gz,1,context,liver_to_the_liver,0.0031043931376188993,0.00212996662594378
val,HEM_PA107.nii.gz,1,context,the_liver_to_liver,0.0030226476956158876,0.0019704215228557587
val,HEM_PA107.nii.gz,2,foreground,liver_to_the_liver,0.0026606672909110785,0.0013504803646355867
val,HEM_PA107.nii.gz,2,foreground,the_liver_to_liver,0.0025971189606934786,0.0012688501738011837
val,HEM_PA107.nii.gz,3,context_fill,liver_to_the_liver,0.0002084991429001093,4.974856710759923e-05
val,HEM_PA107.nii.gz,3,context_fill,the_liver_to_liver,0.00020781745843123645,4.93496518174652e-05
