num_samples,split,prompt_pair,mean_text_embedding_cosine,mean_text_embedding_delta_norm,mean_state_normalized_mse,mean_intermediate_mask_logit_normalized_mse,mean_intermediate_soft_dice,mean_intermediate_binary_dice,mean_intermediate_probability_mae,mean_intermediate_target_to_source_foreground_ratio,mean_final_soft_dice,mean_final_binary_dice,mean_final_probability_mae,mean_final_target_to_source_foreground_ratio,intermediate_both_empty_count,intermediate_source_to_empty_collapse_count,final_both_empty_count,final_source_to_empty_collapse_count
1,train,liver -> liver organ,0.9665619730949402,35.05427551269531,0.003718768712133169,0.0010518264025449753,0.956658124923706,0.9948717951774597,0.0008834603358991444,1.001466275659824,0.960787296295166,0.9965957403182983,0.00030255073215812445,0.9946646810080405,0,0,0,0
1,train,liver -> segment the liver,0.652979850769043,113.48493957519531,0.08724159747362137,0.022962184622883797,0.8844751119613647,0.9244992136955261,0.008305339142680168,0.9032258064516129,0.918971598148346,0.9492968320846558,0.004735198803246021,0.9463530601231017,0,0,0,0
1,train,liver -> the liver,0.9907225370407104,18.397459030151367,0.002723502926528454,0.0019781675655394793,0.9527974724769592,0.9833934903144836,0.00196186569519341,1.030791788856305,0.9587623476982117,0.9926899671554565,0.0006809696205891669,0.9896026177903172,0,0,0,0
1,train,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.0049102031625807285,0.0007844649953767657,0.9548590779304504,0.9876722097396851,0.0015083871548995376,1.0219941348973607,0.9590447545051575,0.9933262467384338,0.0006198615883477032,0.9888989841716592,0,0,0,0
1,train,the liver -> liver,0.9907225370407104,18.397459030151367,0.0026582577265799046,0.0018381631234660745,0.9527974724769592,0.9833934903144836,0.00196186569519341,0.9701280227596017,0.9587623476982117,0.9926899671554565,0.0006809696205891669,1.0105066235908906,0,0,0,0
1,val,liver -> liver organ,0.9665619730949402,35.05427551269531,0.00344530725851655,0.0008257674053311348,0.9285107254981995,0.9871668219566345,0.0010018364991992712,0.9940944881889764,0.8946762084960938,0.9840590953826904,0.0011352861765772104,0.9804339682448203,0,0,0,0
1,val,liver -> segment the liver,0.652979850769043,113.48493957519531,0.08021403104066849,0.014967059716582298,0.772824764251709,0.7940161228179932,0.012783092446625233,0.7106299212598425,0.7682291269302368,0.8009166717529297,0.0113862669095397,0.7316041017450118,0,0,0,0
1,val,liver -> the liver,0.9907225370407104,18.397459030151367,0.0022146066185086966,0.001598040689714253,0.9266624450683594,0.9759383797645569,0.0018050307407975197,1.045275590551181,0.890296220779419,0.9769734144210815,0.0016270485939458013,0.9797465019491933,0,0,0,0
1,val,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.0043608867563307285,0.0006648606504313648,0.9263623356819153,0.9728682041168213,0.0017708978848531842,1.031496062992126,0.8893494009971619,0.9735040664672852,0.0018789249006658792,0.9762556551306804,0,0,0,0
1,val,the liver -> liver,0.9907225370407104,18.397459030151367,0.0021688402630388737,0.001491830567829311,0.9266624450683594,0.9759383797645569,0.0018050307407975197,0.9566854990583804,0.890296220779419,0.9769734144210815,0.0016270485939458013,1.0206721820496552,0,0,0,0
