num_samples,split,case,patch_index,patch_kind,prompt_pair,mean_text_embedding_cosine,mean_text_embedding_delta_norm,mean_state_normalized_mse,mean_intermediate_mask_logit_normalized_mse,mean_intermediate_soft_dice,mean_intermediate_binary_dice,mean_intermediate_probability_mae,mean_intermediate_target_to_source_foreground_ratio,mean_final_soft_dice,mean_final_binary_dice,mean_final_probability_mae,mean_final_target_to_source_foreground_ratio,intermediate_both_empty_count,intermediate_source_to_empty_collapse_count,final_both_empty_count,final_source_to_empty_collapse_count
1,train,HEM_PA99.nii.gz,0,context,liver -> liver organ,0.9665619730949402,35.05427551269531,0.000250958779361099,2.796433363982942e-05,0.9901283979415894,1.0,4.5492537010692266e-14,0.0,0.9970152378082275,1.0,2.3600718536307735e-17,0.0,1,0,1,0
1,train,HEM_PA99.nii.gz,0,context,liver -> segment the liver,0.652979850769043,113.48493957519531,0.003435999620705843,0.0005899534444324672,0.9911252856254578,1.0,1.0854567976869775e-13,0.0,0.9923127293586731,1.0,6.699351927632528e-16,0.0,1,0,1,0
1,train,HEM_PA99.nii.gz,0,context,liver -> the liver,0.9907225370407104,18.397459030151367,0.00014445136184804142,4.1381208575330675e-05,0.9892430305480957,1.0,8.180793960007107e-14,0.0,0.9967364072799683,1.0,3.683373063716568e-17,0.0,1,0,1,0
1,train,HEM_PA99.nii.gz,0,context,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.00034854665864259005,0.00011595558316912502,0.9883370399475098,1.0,1.6492827882488154e-13,0.0,0.9964176416397095,1.0,8.22100995673013e-17,0.0,1,0,1,0
1,train,HEM_PA99.nii.gz,0,context,the liver -> liver,0.9907225370407104,18.397459030151367,0.00014393762103281915,4.104684921912849e-05,0.9892430305480957,1.0,8.180793960007107e-14,0.0,0.9967364072799683,1.0,3.683373063716568e-17,0.0,1,0,1,0
1,train,HEM_PA99.nii.gz,1,foreground,liver -> liver organ,0.9665619730949402,35.05427551269531,0.003718768712133169,0.0010518264025449753,0.956658124923706,0.9948717951774597,0.0008834603358991444,1.001466275659824,0.960787296295166,0.9965957403182983,0.00030255073215812445,0.9946646810080405,0,0,0,0
1,train,HEM_PA99.nii.gz,1,foreground,liver -> segment the liver,0.652979850769043,113.48493957519531,0.08724159747362137,0.022962184622883797,0.8844751119613647,0.9244992136955261,0.008305339142680168,0.9032258064516129,0.918971598148346,0.9492968320846558,0.004735198803246021,0.9463530601231017,0,0,0,0
1,train,HEM_PA99.nii.gz,1,foreground,liver -> the liver,0.9907225370407104,18.397459030151367,0.002723502926528454,0.0019781675655394793,0.9527974724769592,0.9833934903144836,0.00196186569519341,1.030791788856305,0.9587623476982117,0.9926899671554565,0.0006809696205891669,0.9896026177903172,0,0,0,0
1,train,HEM_PA99.nii.gz,1,foreground,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.0049102031625807285,0.0007844649953767657,0.9548590779304504,0.9876722097396851,0.0015083871548995376,1.0219941348973607,0.9590447545051575,0.9933262467384338,0.0006198615883477032,0.9888989841716592,0,0,0,0
1,train,HEM_PA99.nii.gz,1,foreground,the liver -> liver,0.9907225370407104,18.397459030151367,0.0026582577265799046,0.0018381631234660745,0.9527974724769592,0.9833934903144836,0.00196186569519341,0.9701280227596017,0.9587623476982117,0.9926899671554565,0.0006809696205891669,1.0105066235908906,0,0,0,0
1,val,CYST_PA62.nii.gz,0,context,liver -> liver organ,0.9665619730949402,35.05427551269531,0.0006095038261264563,8.018436346901581e-05,0.9994966387748718,1.0,4.035108259624245e-15,0.0,0.9993937611579895,1.0,8.988242970494093e-18,0.0,1,0,1,0
1,val,CYST_PA62.nii.gz,0,context,liver -> segment the liver,0.652979850769043,113.48493957519531,0.007353450171649456,0.001241439487785101,0.9994750618934631,1.0,1.0217131638347657e-14,0.0,0.9979137778282166,1.0,2.1744820710653545e-16,0.0,1,0,1,0
1,val,CYST_PA62.nii.gz,0,context,liver -> the liver,0.9907225370407104,18.397459030151367,0.00030149685335345566,9.627990948501974e-05,0.9994441270828247,1.0,6.211448879794553e-15,0.0,0.9993587732315063,1.0,1.1260191303002652e-17,0.0,1,0,1,0
1,val,CYST_PA62.nii.gz,0,context,liver -> the liver organ,0.9619531035423279,37.39681625366211,0.0007975127082318068,0.0003606929676607251,0.9993582963943481,1.0,1.2593647743294311e-14,0.0,0.9992005228996277,1.0,3.368735396269568e-17,0.0,1,0,1,0
1,val,CYST_PA62.nii.gz,0,context,the liver -> liver,0.9907225370407104,18.397459030151367,0.0002991445944644511,9.495832637185231e-05,0.9994441270828247,1.0,6.211448879794553e-15,0.0,0.9993587732315063,1.0,1.1260191303002652e-17,0.0,1,0,1,0
