num_samples,split,case,patch_index,patch_kind,prompt_pair,mean_text_embedding_cosine,mean_text_embedding_delta_norm,mean_state_normalized_mse,mean_intermediate_mask_logit_normalized_mse,mean_intermediate_soft_dice,mean_intermediate_binary_dice,mean_intermediate_probability_mae,mean_final_soft_dice,mean_final_binary_dice,mean_final_probability_mae
1,train,HCC_10140276_20170721.nii.gz,0,context,liver -> hepatic organ,0.8965643048286438,61.90240478515625,0.009556331671774387,0.0022868847008794546,0.6905989050865173,0.8571429252624512,0.00021226877288427204,0.9661933779716492,0.9887028336524963,0.00010311429650755599
1,train,HCC_10140276_20170721.nii.gz,0,context,liver -> human liver,0.961371898651123,37.537567138671875,0.007800861727446318,0.002749681007117033,0.6540730595588684,0.7500000596046448,0.00039945764001458883,0.9642044901847839,0.98289954662323,0.00016681718989275396
1,train,HCC_10140276_20170721.nii.gz,0,context,liver -> the liver,0.9906747937202454,18.447200775146484,0.004849269520491362,0.003961601294577122,0.6980852484703064,0.8695651888847351,0.0006525579956360161,0.9641715884208679,0.9906601905822754,8.260129106929526e-05
1,train,HCC_10140276_20170721.nii.gz,1,context,liver -> hepatic organ,0.8965643048286438,61.90240478515625,0.00648069940507412,0.0005308649851940572,0.9238973259925842,0.9853658676147461,0.0005792811862193048,0.9541025757789612,0.9911571145057678,0.0002680906909517944
1,train,HCC_10140276_20170721.nii.gz,1,context,liver -> human liver,0.961371898651123,37.537567138671875,0.006522471085190773,0.002510347170755267,0.9107821583747864,0.9536082744598389,0.0014278711751103401,0.9430959820747375,0.9698382019996643,0.0008841518429107964
1,train,HCC_10140276_20170721.nii.gz,1,context,liver -> the liver,0.9906747937202454,18.447200775146484,0.002233948325738311,0.0015133066335693002,0.9178791642189026,0.9689737558364868,0.0010161895770579576,0.9519785642623901,0.9903216361999512,0.0003058863221667707
1,train,HCC_10140276_20170721.nii.gz,2,foreground,liver -> hepatic organ,0.8965643048286438,61.90240478515625,0.008067870512604713,0.000844019406940788,0.9326318502426147,0.9857549667358398,0.0008074504439719021,0.926414966583252,0.9806399941444397,0.0009527712245471776
1,train,HCC_10140276_20170721.nii.gz,2,foreground,liver -> human liver,0.961371898651123,37.537567138671875,0.006870436482131481,0.0021220967173576355,0.9131152629852295,0.947526216506958,0.0025052090641111135,0.9108175039291382,0.9455116391181946,0.002589033218100667
1,train,HCC_10140276_20170721.nii.gz,2,foreground,liver -> the liver,0.9906747937202454,18.447200775146484,0.002488019410520792,0.0011930008186027408,0.9279975891113281,0.9899857044219971,0.0008201294112950563,0.9249237179756165,0.9793333411216736,0.0010510110296308994
1,train,HCC_10140276_20170721.nii.gz,3,foreground,liver -> hepatic organ,0.8965643048286438,61.90240478515625,0.006814693566411734,0.0010012146085500717,0.9504400491714478,0.9817578792572021,0.0006955515709705651,0.9461193680763245,0.9849932789802551,0.0005244393250904977
1,train,HCC_10140276_20170721.nii.gz,3,foreground,liver -> human liver,0.961371898651123,37.537567138671875,0.005634373519569635,0.0019165008561685681,0.9438609480857849,0.975944995880127,0.0011798421619459987,0.9346792101860046,0.965548038482666,0.00117583223618567
1,train,HCC_10140276_20170721.nii.gz,3,foreground,liver -> the liver,0.9906747937202454,18.447200775146484,0.0020083077251911163,0.0008750198758207262,0.947758674621582,0.9785832166671753,0.0007701120339334011,0.9452514052391052,0.9885736107826233,0.0004494469612836838
1,train,HEM_PA99.nii.gz,0,context,liver -> hepatic organ,0.8965643048286438,61.90240478515625,0.000592441821936518,5.705211515305564e-05,0.9889612197875977,1.0,1.0938514362953539e-13,0.9968172907829285,1.0,3.0504918830963264e-17
1,train,HEM_PA99.nii.gz,0,context,liver -> human liver,0.961371898651123,37.537567138671875,0.0003698832879308611,5.765071546193212e-05,0.9899656176567078,1.0,4.838116669445003e-14,0.9968098402023315,1.0,2.7447682448024426e-17
1,train,HEM_PA99.nii.gz,0,context,liver -> the liver,0.9906747937202454,18.447200775146484,0.0001436676102457568,4.0731803892413154e-05,0.9892542958259583,1.0,8.16656516174595e-14,0.9967467784881592,1.0,3.368157362457516e-17
1,train,HEM_PA99.nii.gz,1,context,liver -> hepatic organ,0.8965643048286438,61.90240478515625,0.008275889791548252,0.00201990082859993,0.9550610184669495,0.9918819069862366,0.0010795925045385957,0.959904670715332,0.9929797649383545,0.000663266924675554
1,train,HEM_PA99.nii.gz,1,context,liver -> human liver,0.961371898651123,37.537567138671875,0.008143952116370201,0.0030065744649618864,0.9488809704780579,0.9813293218612671,0.0022054219152778387,0.9579761624336243,0.9875378608703613,0.001198692130856216
1,train,HEM_PA99.nii.gz,1,context,liver -> the liver,0.9906747937202454,18.447200775146484,0.0027210181578993797,0.001957557164132595,0.9528794288635254,0.9833934903144836,0.0019448287785053253,0.9587697982788086,0.9926671385765076,0.0006842143484391272
